,precision,recall,f1-score,support
0.0,0.16854134921734312,0.2847014226881318,0.2117362476724153,42736.0
1.0,0.6709547824600394,0.8296472453428458,0.7419099490790515,37845.0
2.0,1.0,0.4827586206896552,0.6511627906976745,29.0
3.0,0.37468725943033104,0.7716508125247721,0.5044371032517165,40368.0
4.0,0.2172400058696518,1.0,0.35693865601212416,10363.0
5.0,0.7556595614793712,0.20623680995223814,0.32403660518537103,144048.0
6.0,0.0,0.0,0.0,37973.0
7.0,0.01989819527996298,0.08557213930348259,0.03228834240660785,1005.0
8.0,0.6666666666666666,0.8235294117647058,0.7368421052631579,17.0
101.0,0.877124928693668,0.7540581629150115,0.81094907834709,61173.0
102.0,0.0,0.0,0.0,36.0
105.0,0.1978515373729577,0.5095758780649436,0.2850338244833658,30180.0
106.0,0.0,0.0,0.0,15151.0
107.0,0.8068309070548713,0.5245086144139772,0.6357352941176471,8242.0
108.0,0.9994629430719656,0.9983905579399142,0.9989264626945786,7456.0
accuracy,0.4309769090884106,0.4309769090884106,0.4309769090884106,0.4309769090884106
macro avg,0.45032787577312194,0.48470864503997857,0.41933309728072,436622.0
weighted avg,0.5327553319434614,0.4309769090884106,0.4095701409844845,436622.0
